      Open       High        Low      Close     Volume  Dividends  Stock Splits
  0.254717   0.254717   0.246553   0.246553    4106014   0.000000      0.000000
  0.246553   0.256350   0.241655   0.255261    4719450   0.000000      0.000000
  0.255261   0.257438   0.250907   0.254717    3520321   0.000000      0.000000
  0.254717   0.254717   0.251452   0.251996    1553627   0.000000      0.000000
  0.250907   0.250907   0.244376   0.246553    3024024   0.000000      0.000000
  0.246553   0.247097   0.242199   0.246553    2450661   0.000000      0.000000
  0.248730   0.254717   0.248730   0.250907    1720087   0.000000      0.000000
  0.250907   0.255806   0.248730   0.253084    1747830   0.000000      0.000000
  0.253084   0.276488   0.250907   0.271589    3372357   0.000000      0.000000
  0.268868   0.268868   0.258527   0.263425    5027709   0.000000      0.000000
  0.262881   0.262881   0.256350   0.256894     927860   0.000000      0.000000
  0.256894   0.256894   0.253084   0.253084    1387167   0.000000      0.000000
  0.252540   0.252540   0.248186   0.249275    1661518   0.000000      0.000000
  0.249274   0.250907   0.246553   0.247642    1337845   0.000000      0.000000
  0.246009   0.246009   0.243288   0.243832    1411827   0.000000      0.000000
  0.243832   0.249819   0.243288   0.247642    2173228   0.000000      0.000000
  0.247642   0.250363   0.244376   0.248730    1485810   0.000000      0.000000
  0.249275   0.253084   0.249275   0.250907    1695426   0.000000      0.000000
  0.250907   0.252540   0.249275   0.252540    1683096   0.000000      0.000000
  0.252540   0.254173   0.247642   0.253084    2068420   0.000000      0.000000
  0.253085   0.255806   0.251996   0.255806    1347093   0.000000      0.000000
  0.255806   0.256894   0.249275   0.249819    3680616   0.000000      0.000000
  0.249819   0.252540   0.248186   0.250363    1057329   0.000000      0.000000
  0.249819   0.249819   0.246553   0.248730     992595   0.000000      0.000000
  0.247642   0.247642   0.242743   0.243288    1935868   0.000000      0.000000
  0.243287   0.246009   0.238389   0.241110    3612799   0.000000      0.000000
  0.241111   0.241655   0.235124   0.238389    2376679   0.000000      0.000000
  0.237845   0.237845   0.231314   0.231858    1485810   0.000000      0.000000
  0.236212   0.243832   0.236212   0.236756    6547427   0.000000      0.000000
  0.235124   0.235124   0.231858   0.233491    2213302   0.000000      0.000000
  0.233491   0.238934   0.232402   0.238389    1926620   0.000000      0.000000
  0.238389   0.238389   0.235124   0.238389    1464232   0.000000      0.000000
  0.238389   0.239478   0.237845   0.239478     801474   0.000000      0.000000
  0.239478   0.239478   0.237301   0.237845    1122064   0.000000      0.000000
  0.236756   0.236756   0.234035   0.234579     786061   0.000000      0.000000
  0.234579   0.234579   0.231858   0.233491     693583   0.000000      0.000000
  0.233491   0.235124   0.232946   0.232946    1590618   0.000000      0.000000
  0.232946   0.232946   0.229136   0.230769     860043   0.000000      0.000000
  0.230769   0.233491   0.229137   0.232946    1254615   0.000000      0.000000
  0.234035   0.236756   0.234035   0.234579    1883464   0.000000      0.000000
  0.235124   0.244376   0.235124   0.244376    3202814   0.000000      0.000000
  0.244376   0.246553   0.240566   0.241110    4346456   0.000000      0.000000
  0.239478   0.239478   0.235668   0.236756    2459909   0.000000      0.000000
  0.236756   0.240566   0.236212   0.238933    2943876   0.000000      0.000000
  0.238933   0.240566   0.235123   0.235668    2666443   0.000000      0.000000
  0.235668   0.239478   0.235668   0.238389    1926620   0.000000      0.000000
  0.238389   0.238934   0.236212   0.238389    2780499   0.000000      0.000000
  0.238389   0.241654   0.237300   0.241654    3631294   0.000000      0.000000
  0.242199   0.246009   0.242199   0.245465    2919215   0.000000      0.000000
  0.248235   0.248235   0.244356   0.247681    2053007   0.032440      0.000000
  0.248235   0.250451   0.248235   0.249343    3356944   0.000000      0.000000
  0.249343   0.251560   0.247127   0.251560    1698509   0.000000      0.000000
  0.251560   0.256547   0.251560   0.252668    3045602   0.000000      0.000000
  0.252668   0.253222   0.252114   0.253222    1630692   0.000000      0.000000
  0.253222   0.253222   0.249343   0.249343    2250293   0.000000      0.000000
  0.248235   0.248235   0.246019   0.247127    1248450   0.000000      0.000000
  0.246018   0.246018   0.244356   0.246018    1205294   0.000000      0.000000
  0.246018   0.247681   0.245464   0.246018    1239202   0.000000      0.000000
  0.246018   0.247127   0.245464   0.246573     767566   0.000000      0.000000
  0.246019   0.246019   0.239370   0.239370    2330440   0.000000      0.000000
  0.239369   0.239369   0.234936   0.234936    1945116   0.000000      0.000000
  0.234937   0.238815   0.234937   0.236599    1075825   0.000000      0.000000
  0.236599   0.237707   0.234937   0.237707     752153   0.000000      0.000000
  0.237707   0.238815   0.235491   0.238815     690501   0.000000      0.000000
  0.238815   0.239370   0.238261   0.239370     687418   0.000000      0.000000
  0.239370   0.241032   0.238816   0.239924    1470397   0.000000      0.000000
  0.239924   0.241586   0.237153   0.238261    2444496   0.000000      0.000000
  0.238261   0.238815   0.236599   0.238815     937108   0.000000      0.000000
  0.238815   0.238815   0.236599   0.236599     477802   0.000000      0.000000
  0.236599   0.237707   0.234937   0.235491     801474   0.000000      0.000000
  0.235491   0.236045   0.233274   0.235491     841548   0.000000      0.000000
  0.235491   0.238815   0.235491   0.238261    1313185   0.000000      0.000000
  0.238261   0.238261   0.234937   0.236045    1285441   0.000000      0.000000
  0.236045   0.237153   0.235491   0.236045     631932   0.000000      0.000000
  0.236045   0.237707   0.235491   0.237707     937108   0.000000      0.000000
  0.238261   0.247127   0.238261   0.239924    3544982   0.000000      0.000000
  0.239924   0.242694   0.238261   0.242694    1279276   0.000000      0.000000
  0.242694   0.244910   0.242694   0.244910    1211459   0.000000      0.000000
  0.244910   0.246573   0.243802   0.246018    1399497   0.000000      0.000000
  0.246018   0.247127   0.244910   0.246018    1683096   0.000000      0.000000
  0.246019   0.246573   0.244356   0.244356     841548   0.000000      0.000000
  0.244356   0.244910   0.243248   0.244910     749070   0.000000      0.000000
  0.244910   0.246573   0.242140   0.242694    1877299   0.000000      0.000000
  0.242694   0.246019   0.240478   0.244910     930943   0.000000      0.000000
  0.244910   0.246573   0.243248   0.246018    1094320   0.000000      0.000000
  0.246019   0.246573   0.243248   0.244356     844630   0.000000      0.000000
  0.244356   0.246018   0.243248   0.246018    1152890   0.000000      0.000000
  0.246019   0.246573   0.242140   0.244910    1763243   0.000000      0.000000
  0.244910   0.244910   0.242140   0.243802    1180633   0.000000      0.000000
  0.243802   0.243802   0.239924   0.243248    2472239   0.000000      0.000000
  0.243248   0.245464   0.241586   0.245464    3301457   0.000000      0.000000
  0.245465   0.253222   0.245465   0.252668    4069022   0.000000      0.000000
  0.253222   0.260979   0.253222   0.260979    4084435   0.000000      0.000000
  0.262087   0.267074   0.262087   0.266520    3609716   0.000000      0.000000
  0.267074   0.275940   0.267074   0.273169    3480247   0.000000      0.000000
  0.273169   0.274831   0.265412   0.266520    1954364   0.000000      0.000000
  0.266520   0.267074   0.264304   0.265412    1929703   0.000000      0.000000
  0.265412   0.265966   0.262641   0.264858    1340928   0.000000      0.000000
  0.264858   0.265966   0.263750   0.265412    1091238   0.000000      0.000000
  0.265412   0.267074   0.265412   0.265966    1516636   0.000000      0.000000
  0.265966   0.265966   0.264304   0.265412     878539   0.000000      0.000000
  0.265412   0.271507   0.264858   0.271507    2358183   0.000000      0.000000
  0.271507   0.276494   0.268737   0.274832    1686178   0.000000      0.000000
  0.274832   0.274832   0.272061   0.272615    1901960   0.000000      0.000000
  0.272615   0.272615   0.264858   0.267628    2681856   0.000000      0.000000
  0.267629   0.274832   0.266520   0.274832    1535131   0.000000      0.000000
  0.273169   0.273169   0.267628   0.269845    1300854   0.000000      0.000000
  0.267074   0.267074   0.263750   0.264858    1322432   0.000000      0.000000
  0.262642   0.262642   0.259871   0.260425    2274953   0.000000      0.000000
  0.259317   0.259317   0.251560   0.252668    2681856   0.000000      0.000000
  0.252668   0.254330   0.248789   0.251006    3122666   0.000000      0.000000
  0.251005   0.253222   0.249897   0.253222    3159658   0.000000      0.000000
  0.251006   0.251006   0.247681   0.249897    1951281   0.000000      0.000000
  0.250684   0.250684   0.248436   0.250684    2191723   0.025952      0.000000
  0.250684   0.250684   0.248436   0.250684    1186798   0.000000      0.000000
  0.247874   0.247874   0.242253   0.242815    2253375   0.000000      0.000000
  0.245063   0.250684   0.245063   0.250122    2299614   0.000000      0.000000
  0.250122   0.250122   0.243939   0.244501    1689261   0.000000      0.000000
  0.244501   0.245626   0.240567   0.242253    1146725   0.000000      0.000000
  0.242253   0.242253   0.232698   0.235508    2370514   0.000000      0.000000
  0.235508   0.235508   0.227077   0.228201    3338448   0.000000      0.000000
  0.228201   0.231012   0.227639   0.230449    3258301   0.000000      0.000000
  0.229325   0.229325   0.225391   0.227077    1886547   0.000000      0.000000
  0.227077   0.228763   0.222019   0.222019    2518478   0.000000      0.000000
  0.222019   0.227077   0.222019   0.224829    1815647   0.000000      0.000000
  0.224829   0.227639   0.218646   0.219208    3372357   0.000000      0.000000
  0.218646   0.218646   0.211901   0.215836    3689864   0.000000      0.000000
  0.214712   0.214712   0.209653   0.210777    2376679   0.000000      0.000000
  0.210777   0.212463   0.205156   0.207405    3588138   0.000000      0.000000
  0.207405   0.208529   0.198411   0.200660    4768771   0.000000      0.000000
  0.200660   0.204594   0.191667   0.197287    5357546   0.000000      0.000000
  0.197287   0.212463   0.196163   0.205156    4821175   0.000000      0.000000
  0.203470   0.203470   0.193915   0.194477    2583213   0.000000      0.000000
  0.194477   0.198412   0.192229   0.195601    2398257   0.000000      0.000000
  0.196163   0.202346   0.196163   0.200098    3606634   0.000000      0.000000
  0.200098   0.203470   0.199536   0.202908    2617121   0.000000      0.000000
  0.199536   0.199536   0.196163   0.197849    2207136   0.000000      0.000000
  0.197849   0.200098   0.196725   0.197849    2404422   0.000000      0.000000
  0.197849   0.200098   0.194477   0.198974    3113419   0.000000      0.000000
  0.198973   0.199536   0.193915   0.196163    1877299   0.000000      0.000000
  0.195601   0.195601   0.189980   0.189980    1735500   0.000000      0.000000
  0.189980   0.190543   0.183236   0.183236    1658435   0.000000      0.000000
  0.183235   0.186608   0.181549   0.183797    2086915   0.000000      0.000000
  0.181549   0.181549   0.173680   0.175367    4062857   0.000000      0.000000
  0.175367   0.188294   0.175367   0.188294    4463594   0.000000      0.000000
  0.190542   0.196163   0.190542   0.192229    5228077   0.000000      0.000000
  0.192229   0.194477   0.189418   0.192791    2478405   0.000000      0.000000
  0.192791   0.197849   0.191667   0.191667    3588138   0.000000      0.000000
  0.189418   0.189418   0.180987   0.183797    2173228   0.000000      0.000000
  0.183797   0.184360   0.179863   0.182673    1929703   0.000000      0.000000
  0.182673   0.192229   0.181549   0.188856    2136237   0.000000      0.000000
  0.188856   0.189980   0.183797   0.185484    1849556   0.000000      0.000000
  0.185484   0.187170   0.182111   0.184922    2515396   0.000000      0.000000
  0.184922   0.188294   0.184922   0.185484    2715764   0.000000      0.000000
  0.185484   0.188294   0.184922   0.186046    2053007   0.000000      0.000000
  0.186046   0.186608   0.180987   0.183236    2715764   0.000000      0.000000
  0.180425   0.180425   0.174804   0.179301    2367431   0.000000      0.000000
  0.183235   0.188294   0.183235   0.186046    2133154   0.000000      0.000000
  0.187732   0.192229   0.187732   0.190542    3397017   0.000000      0.000000
  0.189418   0.189418   0.183235   0.184360    4220070   0.000000      0.000000
  0.182673   0.182673   0.178739   0.182111    2882224   0.000000      0.000000
  0.182111   0.182673   0.179863   0.182111     696666   0.000000      0.000000
